ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type
GHOLSON ISD,Spring 2022,3,44,56,22,0,161925,STAAR - Reading
GIDDINGS ISD,Spring 2022,3,18,82,47,26,144901,STAAR - Reading
GILMER ISD,Spring 2022,3,26,74,48,24,230902,STAAR - Reading
GLADEWATER ISD,Spring 2022,3,40,60,31,15,92901,STAAR - Reading
GLASSCOCK COUNTY ISD,Spring 2022,3,7,93,86,71,87901,STAAR - Reading
GLEN ROSE ISD,Spring 2022,3,14,86,64,43,213901,STAAR - Reading
MOTLEY COUNTY ISD,Spring 2022,3,10,90,80,60,173901,STAAR - Reading
MOULTON ISD,Spring 2022,3,32,68,47,26,143902,STAAR - Reading
MOUNT CALM ISD (109910),Spring 2022,3,40,60,13,7,109910,STAAR - Reading
MOUNT ENTERPRISE ISD,Spring 2022,3,14,86,56,33,201907,STAAR - Reading
MOUNT PLEASANT ISD,Spring 2022,3,16,84,62,32,225902,STAAR - Reading
MOUNT VERNON ISD,Spring 2022,3,18,82,51,33,80901,STAAR - Reading
MUENSTER ISD,Spring 2022,3,9,91,77,66,49902,STAAR - Reading
MULESHOE ISD,Spring 2022,3,37,63,29,16,9901,STAAR - Reading
MULLIN ISD (167902),Spring 2022,3,43,57,43,43,167902,STAAR - Reading
MUMFORD ISD,Spring 2022,3,0,100,88,45,198906,STAAR - Reading
MUNDAY CISD,Spring 2022,3,17,83,45,28,138903,STAAR - Reading
MURCHISON ISD,Spring 2022,3,26,74,30,4,107908,STAAR - Reading
NACOGDOCHES ISD,Spring 2022,3,45,55,30,13,174904,STAAR - Reading
NATALIA ISD,Spring 2022,3,41,59,36,26,163903,STAAR - Reading
NAVARRO ISD,Spring 2022,3,14,86,50,26,94903,STAAR - Reading
NAVASOTA ISD,Spring 2022,3,24,76,46,21,93904,STAAR - Reading
NAZARETH ISD,Spring 2022,3,14,86,77,55,35903,STAAR - Reading
NECHES ISD,Spring 2022,3,10,90,65,30,1906,STAAR - Reading
