ISD,Admin,Grade,Did Not Meet - %,Approaches - %,Meets - %,Masters - %,Org Id,Test Type,Approaches,Meets,Masters
BUCKHOLTS ISD,Spring 2022,3,57,43,14,0,166907,STAAR - Reading,29,14,0
BUENA VISTA ISD,Spring 2022,3,16,84,42,21,186901,STAAR - Reading,42,21,21
BUFFALO ISD,Spring 2022,3,7,93,71,42,145901,STAAR - Reading,22,29,42
BULLARD ISD,Spring 2022,3,7,93,69,47,212902,STAAR - Reading,24,22,47
BUNA ISD,Spring 2022,3,19,81,55,36,121903,STAAR - Reading,26,19,36
BURKBURNETT ISD,Spring 2022,3,30,70,39,22,243901,STAAR - Reading,31,17,22
BURKEVILLE ISD,Spring 2022,3,62,38,6,6,176901,STAAR - Reading,32,0,6
BURLESON ISD,Spring 2022,3,17,83,59,37,126902,STAAR - Reading,24,22,37
BURNET CISD,Spring 2022,3,24,76,45,28,27903,STAAR - Reading,31,17,28
BURNHAM WOOD CHARTER SCHOOL DISTRICT,Spring 2022,3,12,88,68,37,71801,STAAR - Reading,20,31,37
BURTON ISD,Spring 2022,3,11,89,66,39,239903,STAAR - Reading,23,27,39
BUSHLAND ISD,Spring 2022,3,6,94,77,54,188904,STAAR - Reading,17,23,54
BYNUM ISD,Spring 2022,3,19,81,62,44,109902,STAAR - Reading,19,18,44
CADDO MILLS ISD,Spring 2022,3,9,91,65,38,116901,STAAR - Reading,26,27,38
CALALLEN ISD,Spring 2022,3,16,84,58,32,178903,STAAR - Reading,26,26,32
CALDWELL ISD,Spring 2022,3,19,81,57,34,26901,STAAR - Reading,24,23,34
CALHOUN COUNTY ISD,Spring 2022,3,16,84,53,29,29901,STAAR - Reading,31,24,29
BRAZOS RIVER CHARTER SCHOOL (213801),Spring 2022,3,0,0,0,0,213801,STAAR - Reading,0,0,0
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Spring 2022,3,31,69,37,14,21803,STAAR - Reading,32,23,14
BRAZOSPORT ISD,Spring 2022,3,15,85,58,32,20905,STAAR - Reading,27,26,32
BRECKENRIDGE ISD,Spring 2022,3,19,81,43,22,215901,STAAR - Reading,38,21,22
BREMOND ISD,Spring 2022,3,24,76,41,29,198901,STAAR - Reading,35,12,29
BRENHAM ISD,Spring 2022,3,31,69,40,20,239901,STAAR - Reading,29,20,20
BRIDGE CITY ISD,Spring 2022,3,15,85,56,36,181901,STAAR - Reading,29,20,36
BRIDGEPORT ISD,Spring 2022,3,29,71,49,29,249903,STAAR - Reading,22,20,29
BRIDGEWAY PREPARATORY ACADEMY (057851),Spring 2022,3,80,20,20,0,57851,STAAR - Reading,0,20,0
BROADDUS ISD,Spring 2022,3,25,75,50,45,203902,STAAR - Reading,25,5,45
BROCK ISD,Spring 2022,3,13,87,71,42,184909,STAAR - Reading,16,29,42
BRONTE ISD (041901),Spring 2022,3,13,87,57,43,41901,STAAR - Reading,30,14,43
BROOKELAND ISD,Spring 2022,3,26,74,48,16,121902,STAAR - Reading,26,32,16
BROOKESMITH ISD,Spring 2022,3,12,88,25,0,25908,STAAR - Reading,63,25,0
BROOKS ACADEMIES OF TEXAS,Spring 2022,3,30,70,38,21,15830,STAAR - Reading,32,17,21
BROOKS COUNTY ISD,Spring 2022,3,50,50,25,16,24901,STAAR - Reading,25,9,16
BROWNFIELD ISD,Spring 2022,3,54,46,28,11,223901,STAAR - Reading,18,17,11
BROWNSBORO ISD,Spring 2022,3,17,83,55,35,107902,STAAR - Reading,28,20,35
BROWNSVILLE ISD,Spring 2022,3,27,73,46,23,31901,STAAR - Reading,27,23,23
BROWNWOOD ISD,Spring 2022,3,23,77,50,29,25902,STAAR - Reading,27,21,29
BLOOMINGTON ISD,Spring 2022,3,51,49,22,12,235901,STAAR - Reading,27,10,12
BLUE RIDGE ISD,Spring 2022,3,16,84,57,43,43917,STAAR - Reading,27,14,43
BLUFF DALE ISD,Spring 2022,3,19,81,38,31,72904,STAAR - Reading,43,7,31
BLUM ISD (109913),Spring 2022,3,14,86,67,33,109913,STAAR - Reading,19,34,33
BOB HOPE SCHOOL (123807),Spring 2022,3,17,83,47,24,123807,STAAR - Reading,36,23,24
BOERNE ISD,Spring 2022,3,10,90,71,46,130901,STAAR - Reading,19,25,46
BOLES ISD,Spring 2022,3,22,78,44,25,116916,STAAR - Reading,34,19,25
BOLING ISD,Spring 2022,3,34,66,47,29,241901,STAAR - Reading,19,18,29
BONHAM ISD,Spring 2022,3,25,75,36,18,74903,STAAR - Reading,39,18,18
BOOKER ISD,Spring 2022,3,18,82,55,27,148901,STAAR - Reading,27,28,27
BORDEN COUNTY ISD,Spring 2022,3,0,100,72,44,17901,STAAR - Reading,28,28,44
BORGER ISD,Spring 2022,3,28,72,48,26,117901,STAAR - Reading,24,22,26
BOSQUEVILLE ISD,Spring 2022,3,9,91,62,31,161923,STAAR - Reading,29,31,31
BOVINA ISD,Spring 2022,3,32,68,42,29,185901,STAAR - Reading,26,13,29
BOWIE ISD,Spring 2022,3,39,61,35,18,169901,STAAR - Reading,26,17,18
BOYD ISD,Spring 2022,3,24,76,46,24,249902,STAAR - Reading,30,22,24
BOYS RANCH ISD,Spring 2022,3,0,100,50,33,180901,STAAR - Reading,50,17,33
BRACKETT ISD,Spring 2022,3,17,83,48,21,136901,STAAR - Reading,35,27,21
BRADY ISD,Spring 2022,3,12,88,50,34,160901,STAAR - Reading,38,16,34
BRAZOS ISD,Spring 2022,3,33,67,25,8,8903,STAAR - Reading,42,17,8
CORPUS CHRISTI MONTESSORI SCHOOL (178807),Spring 2022,3,18,82,71,47,178807,STAAR - Reading,11,24,47
CORRIGAN-CAMDEN ISD,Spring 2022,3,18,82,53,26,187904,STAAR - Reading,29,27,26
CORSICANA ISD,Spring 2022,3,25,75,46,26,175903,STAAR - Reading,29,20,26
COTTON CENTER ISD,Spring 2022,3,33,67,50,33,95902,STAAR - Reading,17,17,33
COTULLA ISD,Spring 2022,3,44,56,30,14,142901,STAAR - Reading,26,16,14
COUPLAND ISD,Spring 2022,3,28,72,36,8,246914,STAAR - Reading,36,28,8
COVINGTON ISD,Spring 2022,3,20,80,52,32,109903,STAAR - Reading,28,20,32
CRANDALL ISD,Spring 2022,3,31,69,39,23,129901,STAAR - Reading,30,16,23
CRANE ISD,Spring 2022,3,31,69,36,25,52901,STAAR - Reading,33,11,25
CRANFILLS GAP ISD,Spring 2022,3,31,69,46,15,18908,STAAR - Reading,23,31,15
CRAWFORD ISD,Spring 2022,3,10,90,67,51,161901,STAAR - Reading,23,16,51
CROCKETT COUNTY CONSOLIDATED CSD,Spring 2022,3,4,96,57,20,53001,STAAR - Reading,39,37,20
CROCKETT ISD,Spring 2022,3,41,59,29,10,113901,STAAR - Reading,30,19,10
CROSBY ISD,Spring 2022,3,21,79,53,32,101906,STAAR - Reading,26,21,32
CROSBYTON CISD,Spring 2022,3,6,94,62,25,54901,STAAR - Reading,32,37,25
CROSS PLAINS ISD,Spring 2022,3,4,96,70,44,30901,STAAR - Reading,26,26,44
CROSS ROADS ISD,Spring 2022,3,8,92,42,33,107904,STAAR - Reading,50,9,33
CROWELL ISD,Spring 2022,3,17,83,42,33,78901,STAAR - Reading,41,9,33
CROWLEY ISD,Spring 2022,3,30,70,43,22,220912,STAAR - Reading,27,21,22
CRYSTAL CITY ISD,Spring 2022,3,35,65,33,19,254901,STAAR - Reading,32,14,19
CUERO ISD,Spring 2022,3,27,73,44,23,62901,STAAR - Reading,29,21,23
CULBERSON COUNTY-ALLAMOORE ISD,Spring 2022,3,41,59,31,16,55901,STAAR - Reading,28,15,16
CUMBERLAND ACADEMY,Spring 2022,3,24,76,43,24,212801,STAAR - Reading,33,19,24
CUMBY COLLEGIATE ISD,Spring 2022,3,17,83,33,20,112905,STAAR - Reading,50,13,20
CUSHING ISD,Spring 2022,3,24,76,49,24,174902,STAAR - Reading,27,25,24
CYPRESS-FAIRBANKS ISD,Spring 2022,3,20,80,58,35,101907,STAAR - Reading,22,23,35
D'HANIS ISD,Spring 2022,3,0,100,100,77,163902,STAAR - Reading,0,23,77
