OBJECTID,STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,SDADMLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape__Area,Shape__Length
3417,40, , ,21780, ,4021780,Chisholm Public Schools,00,PK,12,G5420, ,E,225953148,168353,+36.4711100,-097.9880327,2022,2021-2022,0.0227372699414445,1.19863079407273
3418,40, , ,25920, ,4025920,Ringwood Public Schools,00,PK,12,G5420, ,E,307979781,1385569,+36.3630032,-098.2571190,2022,2021-2022,0.0310683840134516,0.903376834875088
3419,40, , ,04500, ,4004500,Bixby Public Schools,00,PK,12,G5420, ,E,182732287,10154694,+35.9371900,-095.8726315,2022,2021-2022,0.0192654639342891,0.80362320333727
3420,40, , ,04360, ,4004360,Billings Public Schools,00,PK,12,G5420, ,E,474299512,898161,+36.4823826,-097.4040702,2022,2021-2022,0.0477881856697877,1.71188174876586
3421,40, , ,14340, ,4014340,Hennessey Public Schools,00,PK,12,G5420, ,E,626803613,3497714,+36.1114954,-097.9367446,2022,2021-2022,0.0630881482722998,1.74638927559329
3422,40, , ,00797, ,4000797,Olustee-Eldorado Public Schools,00,PK,12,G5420, ,E,736111554,826803,+34.4854909,-099.5775641,2022,2021-2022,0.0723223761615372,1.85841222962319
3423,40, , ,06330, ,4006330,Cameron Public Schools,00,PK,12,G5420, ,E,191871696,1723910,+35.1378103,-094.5216172,2022,2021-2022,0.0191480788269018,0.762362369821498
3424,40, , ,14160, ,4014160,Heavener Public Schools,00,KG,12,G5420, ,E,329058327,1904059,+34.8774665,-094.5207775,2022,2021-2022,0.0326178431987501,1.52983366156423
3425,40, , ,23370, ,4023370,Panama Public Schools,00,KG,12,G5420, ,E,232142158,1333012,+35.1188747,-094.7333232,2022,2021-2022,0.0230867691564072,1.20902025815174
3426,40, , ,13620, ,4013620,Haileyville Public Schools,00,PK,12,G5420, ,E,477865349,2013620,+34.7462379,-095.6226218,2022,2021-2022,0.0472394279954642,1.49873785939247
